date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:04:10	22/22	---M--	200	added ('OK')	text/plain	date:Mon,%2007%20Dec%202020%2008:23:56%20GMT	https://techlawfirm.net/robots.txt		(from )
10:04:10	40884/40884	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20Oct%202023%2014:04:11%20GMT	https://techlawfirm.net/	C:/My%20Web%20Sites/TechImmigrationLaw/Immigration/techlawfirm.net/index.html	(from )
10:04:10	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2029%20Oct%202023%2014:04:11%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/TechImmigrationLaw/Immigration/www.googletagmanager.com/gtm.05445.delayed	(from https://techlawfirm.net/)
10:04:11	206679/206679	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2029%20Oct%202023%2014:04:11%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/TechImmigrationLaw/Immigration/connect.facebook.net/en_US/fbevents.js	(from https://techlawfirm.net/)
10:04:11	198240/198240	---M--	200	added ('OK')	text/css	date:Tue,%2029%20Dec%202020%2016:49:35%20GMT	https://techlawfirm.net/assets/7765187a/css/bootstrap.css	C:/My%20Web%20Sites/TechImmigrationLaw/Immigration/techlawfirm.net/assets/7765187a/css/bootstrap.css	(from https://techlawfirm.net/)
10:04:11	17049/17049	---M--	200	added ('OK')	text/css	date:Tue,%2001%20Nov%202022%2021:15:29%20GMT	https://techlawfirm.net/site.css	C:/My%20Web%20Sites/TechImmigrationLaw/Immigration/techlawfirm.net/site.css	(from https://techlawfirm.net/)
10:04:11	41065/41065	---MCZ	200	added ('OK')	text/css	etag:W/%22d61bfe9b56c13ecff5313ee3abb45e8b%22	https://use.fontawesome.com/releases/v5.0.13/css/all.css	C:/My%20Web%20Sites/TechImmigrationLaw/Immigration/use.fontawesome.com/releases/v5.0.13/css/all.css	(from https://techlawfirm.net/)
10:04:12	57737/57737	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20Oct%202023%2014:04:13%20GMT	https://techlawfirm.net/privacy-policy	C:/My%20Web%20Sites/TechImmigrationLaw/Immigration/techlawfirm.net/privacy-policy.html	(from https://techlawfirm.net/)
10:04:12	2181/2181	---M--	200	added ('OK')	image/png	date:Tue,%2001%20Nov%202022%2021:15:29%20GMT	https://techlawfirm.net/img/logo.png	C:/My%20Web%20Sites/TechImmigrationLaw/Immigration/techlawfirm.net/img/logo.png	(from https://techlawfirm.net/)
10:04:13	32597/32597	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20Oct%202023%2014:04:14%20GMT	https://techlawfirm.net/login	C:/My%20Web%20Sites/TechImmigrationLaw/Immigration/techlawfirm.net/login.html	(from https://techlawfirm.net/)
10:04:13	39160/39160	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20Oct%202023%2014:04:14%20GMT	https://techlawfirm.net/es	C:/My%20Web%20Sites/TechImmigrationLaw/Immigration/techlawfirm.net/es.html	(from https://techlawfirm.net/)
10:04:14	39550/39550	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20Oct%202023%2014:04:15%20GMT	https://techlawfirm.net/zh	C:/My%20Web%20Sites/TechImmigrationLaw/Immigration/techlawfirm.net/zh.html	(from https://techlawfirm.net/)
10:04:14	45088/45088	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20Oct%202023%2014:04:15%20GMT	https://techlawfirm.net/ru	C:/My%20Web%20Sites/TechImmigrationLaw/Immigration/techlawfirm.net/ru.html	(from https://techlawfirm.net/)
10:04:15	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2029%20Oct%202023%2014:04:16%20GMT	https://techlawfirm.net/certificate-of-citizenship	C:/My%20Web%20Sites/TechImmigrationLaw/Immigration/techlawfirm.net/certificate-of-citizenship	(from https://techlawfirm.net/)
10:04:15	42109/42109	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20Oct%202023%2014:04:16%20GMT	https://techlawfirm.net/ru/certificate-of-citizenship	C:/My%20Web%20Sites/TechImmigrationLaw/Immigration/techlawfirm.net/ru/certificate-of-citizenship.html	(from https://techlawfirm.net/)
10:04:15	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2029%20Oct%202023%2014:04:17%20GMT	https://techlawfirm.net/green-card	C:/My%20Web%20Sites/TechImmigrationLaw/Immigration/techlawfirm.net/green-card	(from https://techlawfirm.net/)
10:04:16	45479/45479	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20Oct%202023%2014:04:17%20GMT	https://techlawfirm.net/ru/green-card	C:/My%20Web%20Sites/TechImmigrationLaw/Immigration/techlawfirm.net/ru/green-card.html	(from https://techlawfirm.net/)
10:04:16	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2029%20Oct%202023%2014:04:17%20GMT	https://techlawfirm.net/green-card/family-based-green-card	C:/My%20Web%20Sites/TechImmigrationLaw/Immigration/techlawfirm.net/green-card/family-based-green-card	(from https://techlawfirm.net/)
10:04:17	40593/40593	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20Oct%202023%2014:04:18%20GMT	https://techlawfirm.net/ru/green-card/family-based-green-card	C:/My%20Web%20Sites/TechImmigrationLaw/Immigration/techlawfirm.net/ru/green-card/family-based-green-card.html	(from https://techlawfirm.net/)
